Id,Label,Description,Category,AssetCode,Uniclass2015,GeometryType,Markdown
http://environment.data.gov.uk/asset-management/id/drl/Beacon,Beacon,A marker structure that is fixed either to land or piled into the seabed/riverbed and is used to show ships and boats where they can go and to warn them of danger. A beacon may be lighted or unlighted.,http://environment.data.gov.uk/asset-management/id/drl/AidsToNavigation,AB,Pr_40_10_90_07,Point,"A marker structure that is fixed either to land or piled into the seabed/riverbed and is used to show ships and boats where they can go and to warn them of danger. A beacon may be lighted or unlighted.
[[IMAGE: /asset-management/drl-app/img/2023-03-14-11:10:37-Beacon.JPG --- ALT-TEXT: Examples of Beacons. --- CAPTION: Examples of Beacons.]]
Beacons are displayed in the Environment Agency's AIMS OM system as a point at the centre of the structure.
[[IMAGE: /asset-management/drl-app/img/icons/Beacon.png --- ALT-TEXT: Environment Agency symbology for Beacon. --- CAPTION: Environment Agency symbology for Beacon.]]"
http://environment.data.gov.uk/asset-management/id/drl/BiodiversityAndEnvironmentalConservation,Biodiversity and Environmental Conservation,"A group of associated assets which enhance or conserve biodiversity, habitats or the local environment in a certain area.",http://environment.data.gov.uk/asset-management/id/drl/AssetComplex,IV,Ss_45_35_08,Polygon,"A group of associated assets which enhance or conserve biodiversity, habitats or the local environment in a certain area.
Biodiversity and Environmental Conservation complexes are displayed in the Environment Agency's AIMS OM system as a polygon drawn around the complex boundary.
[[IMAGE: /asset-management/drl-app/img/icons/Biodiversity.png --- ALT-TEXT: Environment Agency symbology for Biodiversity and Environmental Conservation. --- CAPTION: Environment Agency symbology for Biodiversity and Environmental Conservation.]]"
http://environment.data.gov.uk/asset-management/id/drl/BioretentionArea,Bioretention Area,"A shallow depression that allows surface water runoff or stormwater runoff to pond temporarily on the surface, before filtering through vegetation and underlying soils prior to collection or infiltration. They are often used to manage and treat runoff from frequent rainfall events.",http://environment.data.gov.uk/asset-management/id/drl/SurfaceWaterManagement,WA,Ss_50_70_85_08,Polygon,"A shallow depression that allows surface water runoff or stormwater runoff to pond temporarily on the surface, before filtering through vegetation and underlying soils prior to collection or infiltration. They are often used to manage and treat runoff from frequent rainfall events."
http://environment.data.gov.uk/asset-management/id/drl/BoatLanding,Boat Landing,A place for boats to wait or be temporarily parked before entering a lock. A landing may also be known as a layby.,http://environment.data.gov.uk/asset-management/id/drl/AidsToNavigation,AL,En_32_50_46,Point,"A place for boats to wait or be temporarily parked before entering a lock. A landing may also be known as a layby.
[[IMAGE: /asset-management/drl-app/img/2023-03-14-11:16:35-Landing.jpg --- ALT-TEXT: An example of a Boat Landing. --- CAPTION: An example of a Boat Landing.]]
Boat Landings are displayed in the Environment Agency's AIMS OM system as a point at the centre of the structure.
[[IMAGE: /asset-management/drl-app/img/icons/Landing.png --- ALT-TEXT: Environment Agency symbology for Boat Landing. --- CAPTION: Environment Agency symbology for Boat Landing.]]"
http://environment.data.gov.uk/asset-management/id/drl/Boathouse,Boathouse,A building designed and/or used primarily for the storage and/or maintenance of boats.,http://environment.data.gov.uk/asset-management/id/drl/BuildingsAndCompounds,VB,En_30_85_07,Point,"A building designed and/or used primarily for the storage and/or maintenance of boats.
Includes the structural components of the building and any integral fixtures, fittings or services that cannot be removed without cutting into the walls, ceilings or floors. Does not include any assets or equipment that are housed or used in the building but separate to the building structure itself.
Buildings can have a multitude of uses so could fit into multiple asset types. Classify according to the predominant, or most important function.
[[IMAGE: /asset-management/drl-app/img/2023-03-14-12:48:49-Boathouse.JPG --- ALT-TEXT: An example of a Boathouse. --- CAPTION: An example of a Boathouse.]]
Boathouses are displayed in the Environment Agency's AIMS OM system as a point at the centre of the structure.
[[IMAGE: /asset-management/drl-app/img/icons/Boathouse.png --- ALT-TEXT: Environment Agency symbology for Boathouse. --- CAPTION: Environment Agency symbology for Boathouse.]]
**Links to Environment Agency Smart Objects** (login required - request access [here](https://forms.office.com/Pages/ResponsePage.aspx?id=xNC-oldZc0-wwqgRQHWQ-6wdY5ziLmBArydQgXdTNQNUQzJESVc3NldVQlRTQTZMQU1TWEFDSENKNSQlQCN0PWcu))<br>[Boathouse](https://connect-componentscenterportal.bentley.com/project/f4e30899-4c5f-4f2a-a7d1-f08b630a72f3/components/9a52cd94-40eb-45c2-90fd-a9dca09a4663/details)"
http://environment.data.gov.uk/asset-management/id/drl/Boatroller,Boatroller,"A bankside structure which incorporates rollers to allow small unpowered craft, such as canoes, to bypass a lock.",http://environment.data.gov.uk/asset-management/id/drl/AidsToNavigation,AR,SL_32_50_72,Point,"A bankside structure which incorporates rollers to allow small unpowered craft, such as canoes, to bypass a lock.
Boatrollers are displayed in the Environment Agency's AIMS OM system as a point at the centre of the structure.
[[IMAGE: /asset-management/drl-app/img/2023-05-30-13:57:17-Boatroller.jpg --- ALT-TEXT: An example of a Boatroller. --- CAPTION: An example of a Boatroller.]]
[[IMAGE: /asset-management/drl-app/img/icons/Boat_Roller.png --- ALT-TEXT: Environment Agency symbology for Boatroller. --- CAPTION: Environment Agency symbology for Boatroller.]]"
http://environment.data.gov.uk/asset-management/id/drl/Borehole,Borehole,"A shaft bored into the ground that is used to extract groundwater via a pump, or to monitor and/or measure water quality and/or quantity.",http://environment.data.gov.uk/asset-management/id/drl/Structure,SA,Ss_15_95_15_10,Point,"A shaft bored into the ground that is used to extract groundwater via a pump, or to monitor and/or measure water quality and/or quantity.
[[IMAGE: /asset-management/drl-app/img/2023-03-14-15:49:30-Borehole.JPG --- ALT-TEXT: Borehole (diagram). --- CAPTION: Borehole (diagram).]]
[[IMAGE: /asset-management/drl-app/img/2023-03-14-15:49:30-Borehole-photo.JPG --- ALT-TEXT: An example of a Borehole. --- CAPTION: An example of a Borehole.]]
Boreholes are displayed in the Environment Agency's AIMS OM system as a point in the centre of the structure.
[[IMAGE: /asset-management/drl-app/img/2021-05-04-08:43:52-Borehole.png --- ALT-TEXT: Environment Agency symbology for Borehole. --- CAPTION: Environment Agency symbology for Borehole.]]
**Links to Environment Agency Smart Objects** (login required - request access [here](https://forms.office.com/Pages/ResponsePage.aspx?id=xNC-oldZc0-wwqgRQHWQ-6wdY5ziLmBArydQgXdTNQNUQzJESVc3NldVQlRTQTZMQU1TWEFDSENKNSQlQCN0PWcu))<br>[Screened and Fixed Borehole](https://connect-componentscenterportal.bentley.com/project/f4e30899-4c5f-4f2a-a7d1-f08b630a72f3/components/67daa816-33bd-4bce-a50f-07bb1b15c878/details)"
http://environment.data.gov.uk/asset-management/id/drl/Breakwater,Breakwater,"A wall or piled barrier built out into the sea or waterway to protect a shore, harbour or asset from the force of waves, or water flow or motion.",http://environment.data.gov.uk/asset-management/id/drl/BeachStructure,BB,En_32_85_10,Line,"A wall or piled barrier built out into the sea or waterway to protect a shore, harbour or asset from the force of waves, or water flow or motion.
[[IMAGE: /asset-management/drl-app/img/2023-03-14-11:52:04-Breakwater-aerial-views.JPG --- ALT-TEXT: Aerial views of a Breakwater (diagram). --- CAPTION: Aerial views of a Breakwater (diagram).]]
[[IMAGE: /asset-management/drl-app/img/2023-03-14-11:52:04-Breakwater-cross-section.JPG --- ALT-TEXT: Cross-section of a Breakwater (diagram). --- CAPTION: Cross-section of a Breakwater (diagram).]]
[[IMAGE: /asset-management/drl-app/img/2023-03-14-11:52:04-Breakwater-front-and-side.JPG --- ALT-TEXT: Examples of a Breakwater. --- CAPTION: Examples of a Breakwater.]]
Breakwaters are displayed in the Environment Agency's AIMS OM system as a polyline showing the centre of the structure.
[[IMAGE: /asset-management/drl-app/img/2024-02-21-16:19:32-Breakwater.png --- ALT-TEXT: Environment Agency symbology for Breakwater. --- CAPTION: Environment Agency symbology for Breakwater.]]
New linear assets should be limited to the minimum of: continuous single ownership, common design or common construction length or 600m. Longer asset runs must be defined (chunked) as separate assets."
http://environment.data.gov.uk/asset-management/id/drl/Bridge,Bridge,"A structure that spans a watercourse and allows the passage of road, rail, pedestrian and farm access. It also includes aqueducts.<br>If the abutments of the bridge form part of the flood defence they need to be recorded as a separate asset, not an abutment element of the bridge.",http://environment.data.gov.uk/asset-management/id/drl/ChannelCrossings,RB,En_80_94,Line,"A structure that spans a watercourse and allows the passage of road, rail, pedestrian and farm access. It also includes aqueducts.
If the abutments of the bridge form part of the flood defence they need to be recorded as a separate asset, not an abutment element of the bridge.
[[IMAGE: /asset-management/drl-app/img/2023-03-14-13:24:25-Bridge.JPG --- ALT-TEXT: A Bridge (diagram) --- CAPTION: A Bridge (diagram)]]
[[IMAGE: /asset-management/drl-app/img/2023-03-14-13:24:25-Bridge-photo.JPG --- ALT-TEXT: An example of a Bridge. --- CAPTION: An example of a Bridge.]]
Bridges are displayed in the Environment Agency's AIMS OM system as a polyline along the centre of the bridge, which will usually cross the watercourse.
[[IMAGE: /asset-management/drl-app/img/icons/Bridge.png --- ALT-TEXT: Environment Agency symbology for Bridge. --- CAPTION: Environment Agency symbology for Bridge.]]
New linear assets should be limited to the minimum of: continuous single ownership, common design or common construction length or 600m. Longer asset runs must be defined (chunked) as separate assets."
http://environment.data.gov.uk/asset-management/id/drl/BridgeAbutment,Bridge Abutment,A supporting structure at the end of a bridge span that also acts as a flood defence. It ties into other flood defences and completes the line of defence against high river levels.<br>If the bridge to which an abutment belongs is also of interest it will also have to be defined as a Bridge asset (without duplicating the abutment element).,http://environment.data.gov.uk/asset-management/id/drl/Defence,DG,Ss_20_50_10,Line,"A supporting structure at the end of a bridge span that also acts as a flood defence. It ties into other flood defences and completes the line of defence against high river levels.
If the bridge to which an abutment belongs is also of interest it will also have to be defined as a Bridge asset (without duplicating the abutment element).
[[IMAGE: /asset-management/drl-app/img/2023-03-14-14:12:56-Bridge-Abutment.JPG --- ALT-TEXT: Bridge Abutment (diagram). --- CAPTION: Bridge Abutment (diagram).]]
[[IMAGE: /asset-management/drl-app/img/2023-03-14-14:12:56-Bridge-Abutment-photo.JPG --- ALT-TEXT: An example of a Bridge Abutment. --- CAPTION: An example of a Bridge Abutment.]]
Bridge Abutments are displayed in the Environment Agency's AIMS OM system as a polyline showing the line of the defence.
[[IMAGE: /asset-management/drl-app/img/icons/Bridge_Abutment.png --- ALT-TEXT: Environment Agency symbology for Bridge Abutment. --- CAPTION: Environment Agency symbology for Bridge Abutment.]]
New linear assets should be limited to the minimum of: continuous single ownership, common design or common construction length or 600m. Longer asset runs must be defined (chunked) as separate assets.
**Links to Environment Agency Smart Objects** (login required - request access [here](https://forms.office.com/Pages/ResponsePage.aspx?id=xNC-oldZc0-wwqgRQHWQ-6wdY5ziLmBArydQgXdTNQNUQzJESVc3NldVQlRTQTZMQU1TWEFDSENKNSQlQCN0PWcu))<br>[Bridge Abutment](https://connect-componentscenterportal.bentley.com/project/f4e30899-4c5f-4f2a-a7d1-f08b630a72f3/components/528b911f-e23e-49d7-94e8-e5b2f035b152/details)"
http://environment.data.gov.uk/asset-management/id/drl/BufferStrip,Buffer Strip,"A vegetated strip of land that is either across a slope or alongside a watercourse, which helps to reduce runoff and trap sediment.",http://environment.data.gov.uk/asset-management/id/drl/SurfaceWaterManagement,WB,TBC,Polygon,"A vegetated strip of land that is either across a slope or alongside a watercourse, which helps to reduce runoff and trap sediment."
http://environment.data.gov.uk/asset-management/id/drl/Buoy,Buoy,A marker object that floats on the surface of the water and is used to show ships and boats where they can go and to warn them of danger. A buoy is anchored to the bed of the sea or river and may be lighted or unlighted.,http://environment.data.gov.uk/asset-management/id/drl/AidsToNavigation,AU,Pr_40_10_90_10,Point,"A marker object that floats on the surface of the water and is used to show ships and boats where they can go and to warn them of danger. A buoy is anchored to the bed of the sea or river and may be lighted or unlighted.
[[IMAGE: /asset-management/drl-app/img/2023-03-14-11:12:10-Buoy.JPG --- ALT-TEXT: An example of a Buoy. --- CAPTION: An example of a Buoy.]]
Buoys are displayed in the Environment Agency's AIMS OM system as a point at the centre of the structure.
[[IMAGE: /asset-management/drl-app/img/icons/Buoy.png --- ALT-TEXT: Environment Agency symbology for Buoy. --- CAPTION: Environment Agency symbology for Buoy.]]"
http://environment.data.gov.uk/asset-management/id/drl/CctvCameraSystem,CCTV Camera System,A CCTV (Closed Circuit Television) camera or group of connected CCTV cameras at a site and the associated onsite equipment.<br>Does not include any offsite remote monitoring equipment or software. For the purpose of monitoring an EA asset. Not security cameras on buildings.,http://environment.data.gov.uk/asset-management/id/drl/Instruments,NC,Ss_75_40_53_86,Point,"A CCTV (Closed Circuit Television) camera or group of connected CCTV cameras at a site and the associated onsite equipment.
Does not include any offsite remote monitoring equipment or software. For the purpose of monitoring an EA asset. Not security cameras on buildings.
[[IMAGE: /asset-management/drl-app/img/2023-03-14-15:06:26-CCTV-Camera-System.JPG --- ALT-TEXT: An example of a CCTV Camera System. --- CAPTION: An example of a CCTV Camera System.]]
CCTV Camera Systems are displayed in the Environment Agency's AIMS OM system as a point in the centre of the structure.
[[IMAGE: /asset-management/drl-app/img/icons/CCTV_Camera_System.png --- ALT-TEXT: Environment Agency symbology for CCTV Camera System. --- CAPTION: Environment Agency symbology for CCTV Camera System.]]"
http://environment.data.gov.uk/asset-management/id/drl/Cableway,Cableway,"A wire rope system, normally mounted between two stanchions used for supporting and moving measuring/gauging equipment from point A to B via a cable suspended between the two stanchions. Cableways are not used for the carriage of people. Cableways will be subject to a statutory examination.",http://environment.data.gov.uk/asset-management/id/drl/Structure,TA,SL_80_20_13,Line,"A wire rope system, normally mounted between two stanchions used for supporting and moving measuring/gauging equipment from point A to B via a cable suspended between the two stanchions. Cableways are not used for the carriage of people. Cableways will be subject to a statutory examination.
[[IMAGE: /asset-management/drl-app/img/2023-03-14-15:50:41-Cableway.JPG --- ALT-TEXT: Examples of Cableways. --- CAPTION: Examples of Cableways.]]
Cableways are displayed in the Environment Agency's AIMS OM system as a polyline showing the centre of the structure.
[[IMAGE: /asset-management/drl-app/img/icons/Cableway.png --- ALT-TEXT: Environment Agency symbology for Cableway. --- CAPTION: Environment Agency symbology for Cableway.]]
New linear assets should be limited to the minimum of: continuous single ownership, common design or common construction length or 600m. Longer asset runs must be defined (chunked) as separate assets."
http://environment.data.gov.uk/asset-management/id/drl/CampingArea,Camping Area,An area where camping is permitted.,http://environment.data.gov.uk/asset-management/id/drl/Amenities,YB,SL_45_10_88,Polygon,"An area where camping is permitted.
Camping Areas are displayed in the Environment Agency's AIMS OM system using a polygon to show the full extent of the area.
[[IMAGE: /asset-management/drl-app/img/2023-11-09-11:57:09-Camping-Area-symbology.png --- ALT-TEXT: Environment Agency symbology for Camping Area. --- CAPTION: Environment Agency symbology for Camping Area.]]"
http://environment.data.gov.uk/asset-management/id/drl/CanoePass,Canoe Pass,A channel of water designed to allow the bypass of locks by canoes and kayaks.,http://environment.data.gov.uk/asset-management/id/drl/AidsToNavigation,AC,SL_32_50_11,Point,"A channel of water designed to allow the bypass of locks by canoes and kayaks.
[[IMAGE: /asset-management/drl-app/img/2023-03-14-11:12:56-Canoe-Pass.JPG --- ALT-TEXT: An example of a Canoe Pass. --- CAPTION: An example of a Canoe Pass.]]
Canoe Passes are displayed in the Environment Agency's AIMS OM system as a point at the centre of the structure.
[[IMAGE: /asset-management/drl-app/img/icons/Canoe_Pass.png --- ALT-TEXT: Environment Agency symbology for Canoe Pass. --- CAPTION: Environment Agency symbology for Canoe Pass.]]"
http://environment.data.gov.uk/asset-management/id/drl/CanoePortagePoint,Canoe Portage Point,"A prepared area designed to allow the ingress and egress of small boats, kayaks and canoes.",http://environment.data.gov.uk/asset-management/id/drl/AidsToNavigation,AP,SL_32_50_12,Point,"A prepared area designed to allow the ingress and egress of small boats, kayaks and canoes.
[[IMAGE: /asset-management/drl-app/img/2023-03-14-11:14:33-Canoe-Portage-Point.JPG --- ALT-TEXT: An example of a Canoe Portage Point. --- CAPTION: An example of a Canoe Portage Point.]]
Canoe Portage Points are displayed in the Environment Agency's AIMS OM system as a point at the centre of the structure.
[[IMAGE: /asset-management/drl-app/img/icons/CanoePortagePoint.png --- ALT-TEXT: Environment Agency symbology for Canoe Portage Point. --- CAPTION: Environment Agency symbology for Canoe Portage Point.]]"
http://environment.data.gov.uk/asset-management/id/drl/CarParkOrHardstanding,Car Park or Hardstanding,An area of prepared ground with either hardcore or tarmac used for parking vehicles.,http://environment.data.gov.uk/asset-management/id/drl/Amenities,YC,En_80_45_85,Polygon,"An area of prepared ground with either hardcore or tarmac used for parking vehicles.
[[IMAGE: /asset-management/drl-app/img/2023-03-14-11:48:37-Car-Park.JPG --- ALT-TEXT: An example of a Car Park or Hardstanding. --- CAPTION: An example of a Car Park or Hardstanding.]]
Car Parks or Hardstanding are displayed in the Environment Agency's AIMS OM system using a polygon to show the full extent of the area.
[[IMAGE: /asset-management/drl-app/img/icons/Car_Park_Hard_Standing.png --- ALT-TEXT: Environment Agency symbology for Car Park or Hardstanding. --- CAPTION: Environment Agency symbology for Car Park or Hardstanding.]]"
http://environment.data.gov.uk/asset-management/id/drl/CentralPier,Central Pier,"A significant central supporting structure built in a channel which both:<br>1. provides an intermediate support to a structure spanning the channel<br>AND<br>2. provides a platform or building for accommodating equipment, machinery and/or operating personnel.<br>If the second criteria is not met, then the supporting structure should be classified as a Central Support Structure element of the spanning structure, e.g. control gate.",http://environment.data.gov.uk/asset-management/id/drl/Structure,TF,Ss_20_50_20,Point,"A significant central supporting structure built in a channel which both:<br>1. provides an intermediate support to a structure spanning the channel <br>AND<br>2. provides a platform or building for accommodating equipment, machinery and/or operating personnel.
If the second criteria is not met, then the supporting structure should be classified as a Central Support Structure element of the spanning structure, e.g. control gate.
Central Piers are displayed in the Environment Agency's AIMS OM system as a point in the centre of the structure.
[[IMAGE: /asset-management/drl-app/img/icons/Central_Pier.png --- ALT-TEXT: Environment Agency symbology for Central Pier. --- CAPTION: Environment Agency symbology for Central Pier.]]"
http://environment.data.gov.uk/asset-management/id/drl/ChannelsAndRills,Channels and Rills,"Shallow open surface water channels incorporated into the start of a SuDS train. They collect water, slow it down and provide storage for silt deposited from runoff.",http://environment.data.gov.uk/asset-management/id/drl/SurfaceWaterManagement,WL,TBC,Line,"Shallow open surface water channels incorporated into the start of a SuDS train. They collect water, slow it down and provide storage for silt deposited from runoff."
http://environment.data.gov.uk/asset-management/id/drl/Cliff,Cliff,"A steep rock face, especially one that runs along the coast. Cliffs that protect the land behind them from flooding and/or erosion.",http://environment.data.gov.uk/asset-management/id/drl/Defence,DC,Co_32_65_15,Line,"A steep rock face, especially one that runs along the coast. Cliffs that protect the land behind them from flooding and/or erosion.
[[IMAGE: /asset-management/drl-app/img/2023-03-14-14:14:00-Cliff.JPG --- ALT-TEXT: An example of a Cliff. --- CAPTION: An example of a Cliff.]]
Cliffs are displayed in the Environment Agency's AIMS OM system as a polyline showing the centre line of the defence.
[[IMAGE: /asset-management/drl-app/img/icons/Cliff.png --- ALT-TEXT: Environment Agency symbology for Cliff. --- CAPTION: Environment Agency symbology for Cliff.]]
New linear assets should be limited to the minimum of: continuous single ownership, common design or common construction length or 600m. Longer asset runs must be defined (chunked) as separate assets."
http://environment.data.gov.uk/asset-management/id/drl/CommercialFinancialProducts,Commercial Financial Products,Any commercial financial products generated in the delivery of the project.,http://environment.data.gov.uk/asset-management/id/drl/InformationDeliverables,F0000,PM_50,N/A,"**F0000**
Any commercial financial products generated in the delivery of the project."
http://environment.data.gov.uk/asset-management/id/drl/CommissioningAndPerformanceEvaluationGsl,Commissioning and Performance Evaluation (GSL),Information required relating to commissioning and performance evaluation including Government Soft Landings (GSL).,http://environment.data.gov.uk/asset-management/id/drl/InformationDeliverables,M0000,PM_35,N/A,"**M0000**
Information required relating to commissioning and performance evaluation including Government Soft Landings (GSL)."
http://environment.data.gov.uk/asset-management/id/drl/CommunicationsAndEngagement,Communications and Engagement,"Information relating to communications, engagement and consultation.",http://environment.data.gov.uk/asset-management/id/drl/InformationDeliverables,N0000,PM_80_20,N/A,"**N0000**
Information relating to communications, engagement and consultation."
http://environment.data.gov.uk/asset-management/id/drl/ComplexBeachStructure,Complex Beach Structure,A collection of beach assets which work together to protect the coast from erosion.,http://environment.data.gov.uk/asset-management/id/drl/AssetComplex,IB,Co_32_55_20,Polygon,"A collection of beach assets which work together to protect the coast from erosion.
Complex Beach Structures are displayed in the Environment Agency's AIMS OM system as a polygon drawn around the complex boundary.
[[IMAGE: /asset-management/drl-app/img/icons/Complex_Beach_Structure.png --- ALT-TEXT: Environment Agency symbology for Complex Beach Structure. --- CAPTION: Environment Agency symbology for Complex Beach Structure.]]"
